Iteración,a,b,c,f(c),Error
1,-10.0,0,-5.0,2.7045835676881307,10.0
2,-5.0,0,-2.5,0.4030461419332414,5.0
3,-2.5,0,-1.25,0.8697081811786134,2.5
4,-1.25,0,-0.625,1.3901844562588574,1.25
5,-0.625,0,-0.3125,1.689405021679332,0.625
6,-0.3125,0,-0.15625,1.843988345830098,0.3125
7,-0.15625,0,-0.078125,1.9219048000487335,0.15625
8,-0.078125,0,-0.0390625,1.9609412252192449,0.078125
9,-0.0390625,0,-0.01953125,1.9804692156590669,0.0390625
10,-0.01953125,0,-0.009765625,1.9902344332075916,0.01953125
11,-0.009765625,0,-0.0048828125,1.9951171947759554,0.009765625
12,-0.0048828125,0,-0.00244140625,1.9975585946594947,0.0048828125
13,-0.00244140625,0,-0.001220703125,1.9987792969886868,0.00244140625
14,-0.001220703125,0,-0.0006103515625,1.9993896484517109,0.001220703125
15,-0.0006103515625,0,-0.00030517578125,1.9996948242205264,0.0006103515625
16,-0.00030517578125,0,-0.000152587890625,1.999847412109597,0.00030517578125
17,-0.000152587890625,0,-7.62939453125e-05,1.9999237060547153,0.000152587890625
18,-7.62939453125e-05,0,-3.814697265625e-05,1.9999618530273473,7.62939453125e-05
19,-3.814697265625e-05,0,-1.9073486328125e-05,1.9999809265136723,3.814697265625e-05
20,-1.9073486328125e-05,0,-9.5367431640625e-06,1.999990463256836,1.9073486328125e-05
21,-9.5367431640625e-06,0,-4.76837158203125e-06,1.999995231628418,9.5367431640625e-06
22,-4.76837158203125e-06,0,-2.384185791015625e-06,1.999997615814209,4.76837158203125e-06
23,-2.384185791015625e-06,0,-1.1920928955078125e-06,1.9999988079071045,2.384185791015625e-06
24,-1.1920928955078125e-06,0,-5.960464477539062e-07,1.9999994039535522,1.1920928955078125e-06
25,-5.960464477539062e-07,0,-2.980232238769531e-07,1.9999997019767761,5.960464477539062e-07
