Iteración,a,b,c,f(c),Error
1,-1.0,0,-0.5,2.0539936458280645,1.0
2,-0.5,0,-0.25,1.6635532216833233,0.5
3,-0.25,0,-0.125,1.3564141490794084,0.25
4,-0.125,0,-0.0625,1.1832256116894566,0.125
5,-0.0625,0,-0.03125,1.0927275413002082,0.0625
6,-0.03125,0,-0.015625,1.0466251298590805,0.03125
7,-0.015625,0,-0.0078125,1.0233757491217446,0.015625
8,-0.0078125,0,-0.00390625,1.0117034017748476,0.0078125
9,-0.00390625,0,-0.001953125,1.0058555491250438,0.00390625
10,-0.001953125,0,-0.0009765625,1.002928732428586,0.001953125
11,-0.0009765625,0,-0.00048828125,1.0014646051567908,0.0009765625
12,-0.00048828125,0,-0.000244140625,1.000732362248527,0.00048828125
13,-0.000244140625,0,-0.0001220703125,1.0003661960336103,0.000244140625
14,-0.0001220703125,0,-6.103515625e-05,1.0001831017431186,0.0001220703125
15,-6.103515625e-05,0,-3.0517578125e-05,1.0000915518030098,6.103515625e-05
16,-3.0517578125e-05,0,-1.52587890625e-05,1.0000457761343515,3.0517578125e-05
17,-1.52587890625e-05,0,-7.62939453125e-06,1.0000228881253854,1.52587890625e-05
18,-7.62939453125e-06,0,-3.814697265625e-06,1.000011444077245,7.62939453125e-06
19,-3.814697265625e-06,0,-1.9073486328125e-06,1.0000057220422605,3.814697265625e-06
20,-1.9073486328125e-06,0,-9.5367431640625e-07,1.0000028610220397,1.9073486328125e-06
21,-9.5367431640625e-07,0,-4.76837158203125e-07,1.0000014305112472,9.5367431640625e-07
