Iteración,x_n,f(x_n),f'(x_n),x_n+1,Error
1,-7.0,5.996966107989353,1.0579583912340103,-12.668432858682134,5.668432858682134
2,-12.668432858682134,6.1312456663098835,0.23401831685041802,-38.86828656598364,26.199853707301504
3,-38.86828656598364,5.152979422548411,0.7196578687240236,-46.02860488736155,7.160318321377915
4,-46.02860488736155,5.2095977707287195,-0.8140035878404076,-39.628635834952284,6.3999690524092685
5,-39.628635834952284,5.123395486353804,-0.6574320486281114,-31.835593957780357,7.793041877171927
6,-31.835593957780357,5.835111589958042,0.7445031913827879,-39.67318506215201,7.837591104371651
7,-39.67318506215201,5.154139243705686,-0.721869775935235,-32.533200240058406,7.139984822093602
8,-32.533200240058406,5.1929009297504996,0.7879396267494774,-39.12368097418902,6.590480734130615
9,-39.12368097418902,5.021386757143549,0.2883461709226006,-56.53811981024839,17.414438836059368
10,-56.53811981024839,5.999889961120162,-0.02109400063892639,227.89772826913875,284.43584807938714
11,227.89772826913875,-5.612130330247457e+31,-1.708264751874162e+31,224.61244691910778,3.2852813500309708
12,224.61244691910778,-2.064370776550136e+31,-6.285020449831013e+30,221.3278581209828,3.284588798124986
13,221.3278581209828,-7.593575713817952e+30,-2.3123818868735068e+30,218.04398197711413,3.2838761438686674
14,218.04398197711413,-2.7932098471412497e+30,-8.50773258842435e+29,214.76083947338557,3.2831425037285555
15,214.76083947338557,-1.0274468166238496e+30,-3.1301818915023062e+29,211.47845253154964,3.282386941835938
16,211.47845253154964,-3.7793196100563796e+29,-1.1516668271476996e+29,208.19684406548265,3.2816084660669844
17,208.19684406548265,-1.3901648540367093e+29,-4.237266220454741e+28,204.9160380417169,3.280806023765763
18,204.9160380417169,-5.113489014021092e+28,-1.5590007735065551e+28,201.63605954464427,3.2799784970726193
19,201.63605954464427,-1.8809039128343124e+28,-5.735993858629762e+27,198.35693484683011,3.2791246978141544
20,198.35693484683011,-6.918533821501585e+27,-2.110439359656931e+27,195.07869148492358,3.278243361906533
21,195.07869148492358,-2.544834904366393e+27,-7.764956423893182e+26,191.8013583417062,3.2773331432173904
22,191.8013583417062,-9.360588370448389e+26,-2.8569800673312974e+26,188.524965734882,3.276392606824203
23,188.524965734882,-3.44305983999105e+26,-1.0511811025915602e+26,185.24954551328307,3.275420221598921
24,185.24954551328307,-1.2664375325980646e+26,-3.867676464981509e+25,181.9751311612436,3.2744143520394573
25,181.9751311612436,-4.658226883984803e+25,-1.4230662161859587e+25,178.7017579119864,3.2733732492572187
26,178.7017579119864,-1.7133853110476523e+25,-5.236035533381222e+24,175.42946287096856,3.272295041017827
27,175.42946287096856,-6.30212255422787e+24,-1.9265607350880295e+24,172.1582851502517,3.271177720716878
28,172.1582851502517,-2.3180132216173817e+24,-7.088683967308709e+23,168.88826601509558,3.2700191351561045
29,168.88826601509558,-8.525936184761077e+23,-2.6082635584954442e+23,165.61944904412996,3.2688169709656165
30,165.61944904412996,-3.1359215141194135e+23,-9.59710954575116e+22,162.35188030463615,3.267568739493811
31,162.35188030463615,-1.1534135525836066e+23,-3.5312847103616887e+22,159.08560854467527,3.266271759960887
32,159.08560854467527,-4.242301008899165e+22,-1.2993570832019924e+22,155.82068540403642,3.2649231406388424
33,155.82068540403642,-1.5603221219358215e+22,-4.781102115941663e+21,152.55716564625249,3.263519757783939
